bloque	formato	escenario	ed_14_20	ed_21_28	ed_29_40	ed_41_50	ed_50	soltero	casado	unionlib	sex_fem	sex_mas	trab_desem	trab_formal	trab_inform	est_ninguno	est_primaria	est_secun	est_tecnico	est_uni	viajeoblig	frecuencia	evas_torniquete	evas_puertas	conoce_multa	conoce_valor	reincide_no_comparendo	colarse_10	colarse_10_50	colarse_50	posibilad_percibida	satis_costo	satis_comodidad	satis_seguridad	satis_general	fin_justifica	importa_ganar	no_reglas	ingreso	perfil	perfil_1	perfil_2	perfil_3	perfil_4	perfil_5	perfil_6	multa	retencion	policia_perros	camara	aleatoria	prob	evade	i1	i2	i3	i4	ingresoprom	gasto	gasto_ingreso	colarse_10mas
1	5	2	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	214	2	0	1	0	0.1	1	0	0	0	0	2250	19.2	0.034133332	0
1	5	3	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	427	2	0	0	1	0.2	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	4	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	427	0	1	0	0	0.5	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	5	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	214	2	0	0	1	0.5	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	6	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	854	2	0	0	1	0.5	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	7	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	854	2	1	0	0	0.2	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	8	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	854	6	0	0	1	0.5	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	9	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	2.4	2	1	0	0	0.1	1	0	0	0	0	2250	19.2	0.034133332	0
1	5	10	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	2.4	6	1	0	0	0.2	0	0	0	0	0	2250	19.2	0.034133332	0
1	5	11	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	2.4	0	0	0	1	0.1	1	0	0	0	0	2250	19.2	0.034133332	0
